,Name,Album,Artist,
0,Savoy cabbage,Brassica oleracea var. sabauda,Vegetables,Cabbages
1,Silver linden,Tilia argentea,Herbs and Spices,Herbs
2,Kiwi,Actinidia chinensis,Fruits,Tropical fruits
3,Allium (Onion),Allium,Vegetables,Onion-family vegetables
4,Garden onion,Allium cepa,Vegetables,Onion-family vegetables
5,Leek,Allium porrum,Vegetables,Onion-family vegetables
6,Garlic,Allium sativum,Herbs and Spices,Herbs
7,Chives,Allium schoenoprasum,Herbs and Spices,Herbs
8,Lemon verbena,Aloysia triphylla,Herbs and Spices,Herbs
9,Cashew nut,Anacardium occidentale,Nuts,Nuts
10,Pineapple,Ananas comosus,Fruits,Tropical fruits
11,Dill,Anethum graveolens,Herbs and Spices,Herbs
12,Endive,Annona reticulata,Fruits,Tropical fruits
13,Wild celery,Apium graveolens,Herbs and Spices,Spices
14,Peanut,Arachis hypogaea,Nuts,Nuts
15,Burdock,Arctium lappa,Vegetables,Root vegetables
16,Horseradish,Armoracia rusticana,Herbs and Spices,Spices
17,Tarragon,Artemisia dracunculus,Herbs and Spices,Herbs
18,Mugwort,Artemisia vulgaris,Herbs and Spices,Herbs
19,Asparagus,Asparagus officinalis,Vegetables,Shoot vegetables
20,Oat,Avena sativa,Cereals and cereal products,Cereals
21,Star fruit,Averrhoa carambola,Fruits,Tropical fruits
22,Brazil nut,Bertholletia excelsa,Nuts,Nuts
23,Common beet,Beta vulgaris,Vegetables,Leaf vegetables
24,Borage,Borago officinalis,Herbs and Spices,Oilseed crops
25,Chinese mustard,Brassica juncea,Vegetables,Cabbages
26,Swede,Brassica napus,Vegetables,Root vegetables
27,Rape,Brassica napus var. napus,Vegetables,Root vegetables
28,Common cabbage,Brassica oleracea,Vegetables,Cabbages
29,Cauliflower,Brassica oleracea var. botrytis,Vegetables,Cabbages
30,Brussel sprouts,Brassica oleracea var. gemmifera,Vegetables,Cabbages
31,Kohlrabi,Brassica oleracea var. gongylodes,Vegetables,Root vegetables
32,Broccoli,Brassica oleracea var. italica,Vegetables,Cabbages
33,Chinese cabbage,Brassica rapa,Vegetables,Cabbages
